tim,temp,hum
0,24,87
0.03,24,87
0.04,24,87
0.04,24,87
0.05,24,87
0.06,24,87
0.06,23,87
0.07,23,87
0.08,24,87
0.09,23,87
0.1,24,87
0.11,23,87
0.11,23,87
0.12,23,87
0.12,23,87
0.13,24,87
0.14,24,87
0.15,24,87
0.16,23,87
0.17,24,87
0.19,24,87
0.2,24,87
0.21,24,84
0.21,23,87
0.23,24,87
0.25,23,87
0.26,24,87
0.27,23,86
0.28,24,87
0.29,23,86
0.29,23,86
0.3,23,84
0.31,24,84
0.33,23,84
0.33,23,84
0.34,23,84
0.35,24,84
0.35,23,84
0.36,23,84
0.36,23,84
0.37,23,83
0.38,23,84
0.38,23,84
0.39,23,84
0.4,23,84
0.4,23,84
0.41,23,84
0.41,23,84
0.43,23,84
0.44,23,84
0.44,23,84
0.45,23,84
0.46,23,84
0.47,23,84
0.48,23,84
0.49,23,84
0.49,23,84
0.5,23,84
0.51,23,84
0.51,23,84
0.53,23,84
0.54,23,84
0.54,23,84
0.55,23,83
0.55,23,84
0.56,23,83
0.57,23,83
0.57,23,83
0.58,23,81
1.01,23,83
1.02,23,83
1.03,23,83
1.04,23,83
1.05,23,83
1.06,23,83
1.06,23,83
1.08,23,81
1.09,23,83
1.09,23,83
1.1,23,83
1.1,23,81
1.12,23,81
1.13,23,81
1.13,23,81
1.14,23,81
1.16,23,81
1.17,23,81
1.18,23,81
1.19,23,81
1.19,23,81
1.2,23,81
1.21,23,81
1.21,23,81
1.23,23,81
1.24,23,81
1.24,23,81
1.25,23,81
1.25,23,81
1.26,23,81
1.26,23,81
1.27,23,81
1.28,23,81
1.28,23,81
1.29,23,81
1.3,23,81
1.31,23,81
1.31,23,81
1.32,23,81
1.33,23,79
1.33,23,81
1.34,23,81
1.34,23,81
1.35,23,79
1.36,23,81
1.37,23,79
1.37,23,79
1.41,23,81
1.41,23,81
1.42,23,81
1.43,23,81
1.44,23,81
1.44,23,81
1.46,23,81
1.46,23,81
1.47,23,81
1.47,23,79
1.49,23,79
1.5,23,79
1.51,23,81
1.51,23,79
1.53,23,79
1.54,23,81
1.54,23,79
1.55,23,81
1.55,23,81
1.56,23,81
1.56,23,79
1.57,23,79
1.58,23,79
1.58,23,79
1.59,23,79
2,23,79
2.01,23,79
2.01,23,79
2.02,23,79
2.02,23,79
2.03,23,79
2.03,23,79
2.04,23,81
2.05,23,78
2.05,23,81
2.06,23,81
2.07,23,81
2.07,23,81
2.08,23,81
2.09,23,79
2.1,23,79
2.1,23,79
2.12,23,79
2.12,23,79
2.13,23,79
2.14,23,79
2.14,23,79
2.15,23,79
2.16,23,79
2.17,23,79
2.18,23,79
2.19,23,79
2.2,23,79
2.21,23,79
2.22,23,79
2.23,23,79
2.23,23,79
2.24,23,79
2.25,23,79
2.27,23,79
2.28,23,79
2.28,23,79
2.3,23,79
2.3,23,79
2.31,23,79
2.31,23,79
2.32,23,79
2.32,23,79
2.33,23,79
2.33,23,79
2.35,23,79
2.35,23,79
2.36,23,79
2.37,23,79
2.39,23,79
2.39,23,79
2.41,23,79
2.41,23,78
2.42,23,79
2.42,23,78
2.44,23,78
2.45,23,79
2.46,23,79
2.47,23,79
2.47,23,79
2.48,23,79
2.5,23,79
2.5,23,79
2.51,23,79
2.52,23,79
2.53,23,79
2.53,23,79
2.54,23,79
2.54,23,79
2.55,23,79
2.55,23,78
2.56,23,78
2.57,23,78
2.57,23,78
2.58,23,79
2.59,23,78
3,23,78
3.01,23,78
3.02,23,78
3.02,23,79
3.04,23,79
3.04,23,78
3.06,23,78
3.07,23,78
3.07,23,78
3.08,23,78
3.09,23,79
3.1,23,79
3.11,23,79
3.11,23,78
3.12,23,78
3.13,23,78
3.14,23,78
3.16,23,78
3.17,23,78
3.17,23,78
3.18,23,78
3.19,23,78
3.2,23,78
3.2,23,78
3.21,23,78
3.22,23,78
3.23,23,78
3.24,23,78
3.25,23,78
3.26,23,78
3.27,23,78
3.27,23,78
3.28,23,78
3.28,23,78
3.29,23,78
3.31,23,78
3.32,23,78
3.33,23,78
3.34,23,78
3.35,23,78
3.35,23,78
3.36,23,78
3.38,23,74
3.39,23,78
3.41,23,78
3.42,23,78
3.43,23,78
3.43,23,78
3.44,23,78
